"Ajatempel","Kasutajanimi","Nimi","Klass","2. periood hommik 1. valik","2. periood hommik 2. valik","2. periood hommik 3. valik","2. periood õhtu 1. valik","2. periood õhtu 2. valik","2. periood õhtu 3. valik","3. periood hommik 1. valik","3. periood hommik 2. valik","3. periood hommik 3. valik","3. periood õhtu 1. valik","3. periood õhtu 2. valik","3. periood õhtu 3. valik","4. periood hommik 1. valik","4. periood hommik 2. valik","4. periood hommik 3. valik","4. periood õhtu 1. valik","4. periood õhtu 2. valik","4. periood õhtu 3. valik","5. periood hommik 1. valik","5. periood hommik 2. valik","5. periood hommik 3. valik","5. periood õhtu 1. valik","5. periood õhtu 2. valik","5. periood õhtu 3. valik"
"2020/07/08 5:05:55 PM GMT +3","CiLUGko@fakegmail.com","Lauren 93","11","Värvus ja kompositsioon","Kirjandus ja film","Geoinformaatika","Hiina keel 1","Astronoomia","Ei taha","Filosoofia 1","Loovkirjutamine","Astrofüüsika 3. periood","Fotograafia 1","Turundus","Fotograafia 1","Ei taha","Loomade käitumine 4. periood","Matemaatika ajaloo elemente ja rakendusi","Inimene ja ühiskond 4. periood","Inimene ja ühiskond 4. periood","Inimene ja ühiskond 4. periood","Filosoofia 2","Filosoofia 2","Filosoofia 2","CAD joonestamine","Ei taha","Ei taha"
"2020/07/08 5:06:00 PM GMT +3","yiMcPxI@fakegmail.com","Taylor 94","10","Astrofüüsika 2. periood","Planimeetria alused","Planimeetria alused","Astronoomia","Õpioskused","Meediakursus","Programmeerimine keeles Java 1","Natuurist joonistamine","Keemilised elemendid","Inimene ja ühiskond 3. periood","Ettevõtlusõpe 3. periood","Sissejuhatus ehitusinseneeriasse","Praktiline kommunikatsioon","Loominguline joonistamine 2","Kujutav geomeetria","Psühholoogia alused","Psühholoogia alused","Ei taha","Raamatukunst","3D-modelleerimine 5. periood","Tänavakunst","Projektikirjutamisõpe","Projektikirjutamisõpe","Riigikaitse 2"
"2020/07/08 5:06:04 PM GMT +3","moxyeXP@fakegmail.com","Isabella 95","11","Programmeerimine keeles Python 1 hommikul","Geoinformaatika","Kirjandus ja film","Hiina keel 1","Hiina keel 1","Labortöid füüsikas 10. ja 11. klassile","Astrofüüsika 3. periood","Astrofüüsika 3. periood","Loomade käitumine 3. periood","Ei taha","Statistiline maailmapilt","Teadusajalugu 3. periood","Kujutav geomeetria","Kujutav geomeetria","Ei taha","Inimene ja ühiskond 4. periood","Meditsiinikursus","Majandusõpe","3D-modelleerimine 5. periood","3D-modelleerimine 5. periood","Laboratoorsed tööd bioloogias","Ajakirjanduse praktika","Ajakirjanduse praktika","Ei taha"
"2020/07/08 5:06:09 PM GMT +3","HecjAiT@fakegmail.com","Lauren 96","12","Programmeerimine keeles Python 1 hommikul","Geoinformaatika","Loominguline joonestamine 1","Astronoomia","Hispaania keel 1","Linux Raspberry Pi näitel","Loovkirjutamine","Astrofüüsika 3. periood","Programmeerimine keeles Java 1","Fotograafia 1","Statistiline maailmapilt","Ei taha","Köögifüüsika","Praktiline kommunikatsioon","Loogika 4. periood","Majandusõpe","Meditsiinikursus","Meditsiinikursus","Tänavakunst","Ei taha","Globaalne keskkond","Riigikaitse 2","Ei taha","Projektikirjutamisõpe"
"2020/07/08 5:06:14 PM GMT +3","GTBcbif@fakegmail.com","Emily 97","10","Orgaaniline arhitektuur","Keskkonnakeemia 2. periood","Värvus ja kompositsioon","Inimene ja õigus","Hiina keel 1","Programmeerimine keeles Python 1 õhtul","Loovkirjutamine","Astrofüüsika 3. periood","3D-modelleerimine 3. periood","Turundus","Turundus","Vaimne tervis ja selle hoidmine","Programmeerimine keeles Python 2","Joonestamine 4. periood","Joonestamine 4. periood","Millest ELU koosneb?","Millest ELU koosneb?","Ei taha","Globaalne keskkond","3D-modelleerimine 5. periood","Raamatukunst","Mobiilirakenduste loomine (APP Inventor)","Ajakirjanduse praktika","CAD joonestamine"
"2020/07/08 5:06:18 PM GMT +3","Dclfclx@fakegmail.com","Emma 98","12","Loogika 2. periood","Kirjandus ja film","Programmeerimine keeles Python 1 hommikul","Inimene ja õigus","Hiina keel 1","Astronoomia","Loovkirjutamine","Loomade käitumine 3. periood","Küberkaitse 1","Statistiline maailmapilt","Vaimne tervis ja selle hoidmine","Vaimne tervis ja selle hoidmine","Kujutav geomeetria","Kasutame füüsikat!","Kujutav geomeetria","Inimene ja ühiskond 4. periood","Arvutivõrkude alused","Ei taha","Filosoofia 2","Programmeerimine keeles Java 2","3D-modelleerimine 5. periood","Mobiilirakenduste loomine (APP Inventor)","CAD joonestamine","Ajakirjanduse praktika"
"2020/07/08 5:06:23 PM GMT +3","LUFykfB@fakegmail.com","Grace 99","12","Astrofüüsika 2. periood","Globaliseeruv maailm","Keskkonnakeemia 2. periood","Labortöid füüsikas 10. ja 11. klassile","Ei taha","Astronoomia","Programmeerimine keeles Java 1","Ladina keel 1","Ladina keel 1","Keskkonnakeemia 3. periood","Ei taha","Teadusajalugu 3. periood","Joonestamine 4. periood","Kujutav geomeetria","Programmeerimine keeles Python 2","Majandusõpe","Psühholoogia alused","Arvutivõrkude alused","Tänavakunst","Globaalne keskkond","Liiklusfüüsika","Projektikirjutamisõpe","Ei taha","CAD joonestamine"
"2020/07/08 5:06:28 PM GMT +3","FDbjOJh@fakegmail.com","Grace 100","12","Kirjandus ja film","Geoinformaatika","Keskkonnakeemia 2. periood","Hiina keel 1","Hiina keel 1","Lähis-Ida 20. sajandi teisest poolest tänapäevani","Ei taha","Ei taha","Ladina keel 1","Keskkonnakeemia 3. periood","Fotograafia 1","Arvutite riistvara ja lisaseadmed","Klassikaline skulptuur","Ei taha","Klassikaline skulptuur","Arvutivõrkude alused","Riigikaitse 1","Ei taha","Globaalne keskkond","Filosoofia 2","3D-modelleerimine 5. periood","Projektikirjutamisõpe","Teadusajalugu 5. periood","Teadusajalugu 5. periood"
"2020/07/08 5:06:32 PM GMT +3","veEPRhj@fakegmail.com","Lauren 101","11","Globaliseeruv maailm","Planimeetria alused","Programmeerimine keeles Python 1 hommikul","Meediakursus","Prantsuse keel 1","Lähis-Ida 20. sajandi teisest poolest tänapäevani","Loomade käitumine 3. periood","Muusikaline kirjaoskus","Ei taha","Keskkonnakeemia 3. periood","Veebidisain","Fotograafia 1","Kujutav geomeetria","Praktiline kommunikatsioon","Loodusteadused, tehnoloogia ja ühiskond","Riigikaitse 1","Arvutivõrkude alused","Teater Vanemuise kultuuritänavas","Ettevõtlusõpe 5. periood","Ei taha","Liiklusfüüsika","Mobiilirakenduste loomine (APP Inventor)","Ei taha","Teadusajalugu 5. periood"
"2020/07/08 5:06:37 PM GMT +3","DRyhMmO@fakegmail.com","Olivia 102","12","Astrofüüsika 2. periood","Kirjandus ja film","Geoinformaatika","Prantsuse keel 1","Hiina keel 1","Õpioskused","Programmeerimine keeles Java 1","Muusikaline kirjaoskus","3D-modelleerimine 3. periood","Sissejuhatus ehitusinseneeriasse","Sissejuhatus ehitusinseneeriasse","Ei taha","Matemaatika ajaloo elemente ja rakendusi","Kasutame füüsikat!","Kujutav geomeetria","Riigikaitse 1","Psühholoogia alused","Millest ELU koosneb?","Majandusmatemaatika elemendid","Liiklusfüüsika","Programmeerimine keeles Java 2","Riigikaitse 2","Teadusajalugu 5. periood","Teadusajalugu 5. periood"
"2020/07/08 5:06:42 PM GMT +3","gYXPshw@fakegmail.com","Olivia 103","12","Värvus ja kompositsioon","Kirjandus ja film","Astrofüüsika 2. periood","Meediakursus","Programmeerimine keeles Python 1 õhtul","Prantsuse keel 1","Keemilised elemendid","Keemilised elemendid","Filosoofia 1","Veebidisain","Sissejuhatus ehitusinseneeriasse","Statistiline maailmapilt","Matemaatika ajaloo elemente ja rakendusi","Programmeerimine keeles Python 2","Ei taha","Riigikaitse 1","Meditsiinikursus","Majandusõpe","Majandusmatemaatika elemendid","Liiklusfüüsika","Liiklusfüüsika","Mobiilirakenduste loomine (APP Inventor)","Ajakirjanduse praktika","Karjääriõpetus"
"2020/07/08 5:06:47 PM GMT +3","VkVYtNU@fakegmail.com","Alexis 104","12","Geoinformaatika","Orgaaniline arhitektuur","Planimeetria alused","Hispaania keel 1","Programmeerimine keeles Python 1 õhtul","Ei taha","Astrofüüsika 3. periood","Ladina keel 1","Keemilised elemendid","Ei taha","Statistiline maailmapilt","Vaimne tervis ja selle hoidmine","Loominguline joonistamine 2","Joonestamine 4. periood","Matemaatika ajaloo elemente ja rakendusi","Arvutivõrkude alused","Riigikaitse 1","Inimene ja ühiskond 4. periood","Tänavakunst","Ei taha","Liiklusfüüsika","Mobiilirakenduste loomine (APP Inventor)","Teadusajalugu 5. periood","Projektikirjutamisõpe"
"2020/07/08 5:06:52 PM GMT +3","NXDMfuO@fakegmail.com","Abigail 105","11","Keskkonnakeemia 2. periood","Loominguline joonestamine 1","Planimeetria alused","Soome keel 1","Hispaania keel 1","Hispaania keel 1","Programmeerimine keeles Java 1","Loomade käitumine 3. periood","Programmeerimine keeles Java 1","Teadusajalugu 3. periood","Teadusajalugu 3. periood","Turundus","Loominguline joonistamine 2","Joonestamine 4. periood","Programmeerimine keeles Python 2","Millest ELU koosneb?","Arvutivõrkude alused","Inimene ja ühiskond 4. periood","Ettevõtlusõpe 5. periood","3D-modelleerimine 5. periood","Liiklusfüüsika","Ajakirjanduse praktika","Mobiilirakenduste loomine (APP Inventor)","Ei taha"
"2020/07/08 5:06:57 PM GMT +3","ERFOclp@fakegmail.com","Taylor 106","12","Keskkonnakeemia 2. periood","Orgaaniline arhitektuur","Ei taha","Labortöid füüsikas 10. ja 11. klassile","Astronoomia","Lähis-Ida 20. sajandi teisest poolest tänapäevani","Filosoofia 1","Loomade käitumine 3. periood","Programmeerimine keeles Java 1","Ettevõtlusõpe 3. periood","Teadusajalugu 3. periood","Vaimne tervis ja selle hoidmine","Köögifüüsika","Praktiline kommunikatsioon","Matemaatika ajaloo elemente ja rakendusi","Teater Vanemuise kultuuritänavas","Ei taha","Majandusõpe","Filosoofia 2","Liiklusfüüsika","Laboratoorsed tööd bioloogias","Riigikaitse 2","Mobiilirakenduste loomine (APP Inventor)","Teadusajalugu 5. periood"
"2020/07/08 5:07:02 PM GMT +3","GLqqGwQ@fakegmail.com","Sarah 107","11","Kirjandus ja film","Globaliseeruv maailm","Finantsmõtlemine","Linux Raspberry Pi näitel","Õpioskused","Meediakursus","Ladina keel 1","Keemilised elemendid","Loomade käitumine 3. periood","Teadusajalugu 3. periood","Vaimne tervis ja selle hoidmine","Inimene ja ühiskond 3. periood","Loomade käitumine 4. periood","Loogika 4. periood","Loogika 4. periood","Arvutivõrkude alused","Millest ELU koosneb?","Ei taha","Laboratoorsed tööd bioloogias","Programmeerimine keeles Java 2","Globaalne keskkond","Teadusajalugu 5. periood","Ajakirjanduse praktika","Projektikirjutamisõpe"
"2020/07/08 5:07:06 PM GMT +3","mgejbzW@fakegmail.com","Abigail 108","12","Globaliseeruv maailm","Värvus ja kompositsioon","Orgaaniline arhitektuur","Astronoomia","Hispaania keel 1","Hispaania keel 1","Astrofüüsika 3. periood","Ajakirjanduse alused","3D-modelleerimine 3. periood","Statistiline maailmapilt","Statistiline maailmapilt","Turundus","Klassikaline skulptuur","Köögifüüsika","Loodusteadused, tehnoloogia ja ühiskond","Inimene ja ühiskond 4. periood","Millest ELU koosneb?","Riigikaitse 1","Majandusmatemaatika elemendid","Ettevõtlusõpe 5. periood","Tänavakunst","Riigikaitse 2","Ei taha","Ajakirjanduse praktika"
"2020/07/08 5:07:11 PM GMT +3","ggnhxcx@fakegmail.com","Abigail 109","10","Programmeerimine keeles Python 1 hommikul","Joonestamine 2. periood","Astrofüüsika 2. periood","Õpioskused","Õpioskused","Lähis-Ida 20. sajandi teisest poolest tänapäevani","3D-modelleerimine 3. periood","3D-modelleerimine 3. periood","Muusikaline kirjaoskus","Vaimne tervis ja selle hoidmine","Statistiline maailmapilt","Arvutite riistvara ja lisaseadmed","Köögifüüsika","Loominguline joonistamine 2","Matemaatika ajaloo elemente ja rakendusi","Psühholoogia alused","Inimene ja ühiskond 4. periood","Meditsiinikursus","Ei taha","Raamatukunst","Globaalne keskkond","Mobiilirakenduste loomine (APP Inventor)","Riigikaitse 2","Riigikaitse 2"
"2020/07/08 5:07:15 PM GMT +3","GTqmtcc@fakegmail.com","Taylor 110","10","Joonestamine 2. periood","Planimeetria alused","Loominguline joonestamine 1","Hiina keel 1","Hiina keel 1","Prantsuse keel 1","Küberkaitse 1","Astrofüüsika 3. periood","Loovkirjutamine","Statistiline maailmapilt","Inimene ja ühiskond 3. periood","Teadusajalugu 3. periood","Kasutame füüsikat!","Ei taha","Ei taha","Inimene ja ühiskond 4. periood","Meditsiinikursus","Majandusõpe","Ei taha","Globaalne keskkond","Ei taha","Ajakirjanduse praktika","Ei taha","CAD joonestamine"
"2020/07/08 5:07:20 PM GMT +3","wszuyQS@fakegmail.com","Grace 111","10","Finantsmõtlemine","Värvus ja kompositsioon","Programmeerimine keeles Python 1 hommikul","Labortöid füüsikas 10. ja 11. klassile","Hiina keel 1","Astronoomia","Loomade käitumine 3. periood","Loomade käitumine 3. periood","Loovkirjutamine","Ettevõtlusõpe 3. periood","Turundus","Ei taha","Loominguline joonistamine 2","Köögifüüsika","Kujutav geomeetria","Teater Vanemuise kultuuritänavas","Inimene ja ühiskond 4. periood","Millest ELU koosneb?","Tänavakunst","Globaalne keskkond","Filosoofia 2","Karjääriõpetus","Riigikaitse 2","Teadusajalugu 5. periood"
"2020/07/08 5:07:25 PM GMT +3","ICvPUQo@fakegmail.com","Alexis 112","10","Värvus ja kompositsioon","Loominguline joonestamine 1","Värvus ja kompositsioon","Ei taha","Inimene ja õigus","Linux Raspberry Pi näitel","3D-modelleerimine 3. periood","Ei taha","Astrofüüsika 3. periood","Ettevõtlusõpe 3. periood","Ei taha","Teadusajalugu 3. periood","Loomade käitumine 4. periood","Praktiline kommunikatsioon","Programmeerimine keeles Python 2","Arvutivõrkude alused","Millest ELU koosneb?","Millest ELU koosneb?","3D-modelleerimine 5. periood","Programmeerimine keeles Java 2","Liiklusfüüsika","Projektikirjutamisõpe","Ajakirjanduse praktika","Riigikaitse 2"
"2020/07/08 5:07:30 PM GMT +3","tlaqvtE@fakegmail.com","Abigail 113","10","Keskkonnakeemia 2. periood","Loominguline joonestamine 1","Ei taha","Hiina keel 1","Hiina keel 1","Inimene ja õigus","Muusikaline kirjaoskus","Muusikaline kirjaoskus","Ladina keel 1","Ettevõtlusõpe 3. periood","Vaimne tervis ja selle hoidmine","Ei taha","Kujutav geomeetria","Kujutav geomeetria","Programmeerimine keeles Python 2","Meditsiinikursus","Psühholoogia alused","Ei taha","Programmeerimine keeles Java 2","Ei taha","Programmeerimine keeles Java 2","Mobiilirakenduste loomine (APP Inventor)","Karjääriõpetus","Karjääriõpetus"
"2020/07/08 5:07:34 PM GMT +3","YMSwzKY@fakegmail.com","Sarah 114","11","Kirjandus ja film","Globaliseeruv maailm","Ei taha","Inimene ja õigus","Programmeerimine keeles Python 1 õhtul","Ei taha","Muusikaline kirjaoskus","Programmeerimine keeles Java 1","Ajakirjanduse alused","Keskkonnakeemia 3. periood","Ei taha","Fotograafia 1","Matemaatika ajaloo elemente ja rakendusi","Köögifüüsika","Köögifüüsika","Meditsiinikursus","Riigikaitse 1","Ei taha","Ei taha","Programmeerimine keeles Java 2","Tänavakunst","CAD joonestamine","Ei taha","CAD joonestamine"
"2020/07/08 5:07:39 PM GMT +3","EgDzqiw@fakegmail.com","Taylor 115","12","Keskkonnakeemia 2. periood","Orgaaniline arhitektuur","Loominguline joonestamine 1","Ei taha","Inimene ja õigus","Hispaania keel 1","Filosoofia 1","Küberkaitse 1","Keemilised elemendid","Keskkonnakeemia 3. periood","Statistiline maailmapilt","Turundus","Praktiline kommunikatsioon","Loomade käitumine 4. periood","Loominguline joonistamine 2","Majandusõpe","Millest ELU koosneb?","Majandusõpe","Globaalne keskkond","Globaalne keskkond","Raamatukunst","Projektikirjutamisõpe","Teadusajalugu 5. periood","CAD joonestamine"
"2020/07/08 5:07:44 PM GMT +3","ZpxwPzR@fakegmail.com","Elizabeth 116","11","Finantsmõtlemine","Globaliseeruv maailm","Loominguline joonestamine 1","Labortöid füüsikas 10. ja 11. klassile","Prantsuse keel 1","Inimene ja õigus","Filosoofia 1","Programmeerimine keeles Java 1","Ei taha","Ettevõtlusõpe 3. periood","Inimene ja ühiskond 3. periood","Keskkonnakeemia 3. periood","Matemaatika ajaloo elemente ja rakendusi","Kujutav geomeetria","Matemaatika ajaloo elemente ja rakendusi","Inimene ja ühiskond 4. periood","Riigikaitse 1","Riigikaitse 1","Globaalne keskkond","Majandusmatemaatika elemendid","Raamatukunst","Mobiilirakenduste loomine (APP Inventor)","Mobiilirakenduste loomine (APP Inventor)","Riigikaitse 2"
"2020/07/08 5:07:49 PM GMT +3","cSReftz@fakegmail.com","Ashley 117","11","Globaliseeruv maailm","Ei taha","Globaliseeruv maailm","Prantsuse keel 1","Programmeerimine keeles Python 1 õhtul","Lähis-Ida 20. sajandi teisest poolest tänapäevani","Natuurist joonistamine","Ei taha","Filosoofia 1","Inimene ja ühiskond 3. periood","Fotograafia 1","Arvutite riistvara ja lisaseadmed","Loominguline joonistamine 2","Matemaatika ajaloo elemente ja rakendusi","Loogika 4. periood","Riigikaitse 1","Majandusõpe","Inimene ja ühiskond 4. periood","Programmeerimine keeles Java 2","Ettevõtlusõpe 5. periood","Liiklusfüüsika","Ajakirjanduse praktika","Projektikirjutamisõpe","CAD joonestamine"
"2020/07/08 5:07:54 PM GMT +3","BbKJDYT@fakegmail.com","Emma 118","12","Orgaaniline arhitektuur","Geoinformaatika","Keskkonnakeemia 2. periood","Hispaania keel 1","Programmeerimine keeles Python 1 õhtul","Meediakursus","Filosoofia 1","Ladina keel 1","Ajakirjanduse alused","Veebidisain","Ei taha","Arvutite riistvara ja lisaseadmed","Klassikaline skulptuur","Kasutame füüsikat!","Loomade käitumine 4. periood","Riigikaitse 1","Psühholoogia alused","Arvutivõrkude alused","Liiklusfüüsika","Tänavakunst","Liiklusfüüsika","Projektikirjutamisõpe","CAD joonestamine","Riigikaitse 2"
"2020/07/08 5:07:58 PM GMT +3","xfMOory@fakegmail.com","Hannah 119","10","Värvus ja kompositsioon","Värvus ja kompositsioon","Finantsmõtlemine","Meediakursus","Soome keel 1","Soome keel 1","Loovkirjutamine","Keemilised elemendid","Küberkaitse 1","Arvutite riistvara ja lisaseadmed","Keskkonnakeemia 3. periood","Sissejuhatus ehitusinseneeriasse","Klassikaline skulptuur","Programmeerimine keeles Python 2","Matemaatika ajaloo elemente ja rakendusi","Riigikaitse 1","Millest ELU koosneb?","Riigikaitse 1","Tänavakunst","3D-modelleerimine 5. periood","Globaalne keskkond","Mobiilirakenduste loomine (APP Inventor)","Riigikaitse 2","Karjääriõpetus"
"2020/07/08 5:08:03 PM GMT +3","ioAzKvL@fakegmail.com","Grace 120","10","Planimeetria alused","Ei taha","Finantsmõtlemine","Prantsuse keel 1","Prantsuse keel 1","Programmeerimine keeles Python 1 õhtul","Keemilised elemendid","Astrofüüsika 3. periood","Programmeerimine keeles Java 1","Vaimne tervis ja selle hoidmine","Arvutite riistvara ja lisaseadmed","Ei taha","Loogika 4. periood","Ei taha","Joonestamine 4. periood","Teater Vanemuise kultuuritänavas","Ei taha","Meditsiinikursus","3D-modelleerimine 5. periood","3D-modelleerimine 5. periood","Tänavakunst","Ei taha","Ei taha","Ei taha"
"2020/07/08 5:08:08 PM GMT +3","dABNoqP@fakegmail.com","Taylor 121","12","Finantsmõtlemine","Geoinformaatika","Globaliseeruv maailm","Labortöid füüsikas 10. ja 11. klassile","Õpioskused","Meediakursus","Keemilised elemendid","Filosoofia 1","Programmeerimine keeles Java 1","Inimene ja ühiskond 3. periood","Fotograafia 1","Keskkonnakeemia 3. periood","Matemaatika ajaloo elemente ja rakendusi","Matemaatika ajaloo elemente ja rakendusi","Loominguline joonistamine 2","Teater Vanemuise kultuuritänavas","Riigikaitse 1","Teater Vanemuise kultuuritänavas","Globaalne keskkond","Majandusmatemaatika elemendid","Programmeerimine keeles Java 2","Mobiilirakenduste loomine (APP Inventor)","Ei taha","Teadusajalugu 5. periood"
"2020/07/08 5:08:12 PM GMT +3","xsNtDjs@fakegmail.com","Grace 122","11","Finantsmõtlemine","Kirjandus ja film","Astrofüüsika 2. periood","Õpioskused","Meediakursus","Hispaania keel 1","Programmeerimine keeles Java 1","Natuurist joonistamine","Loomade käitumine 3. periood","Teadusajalugu 3. periood","Vaimne tervis ja selle hoidmine","Ei taha","Joonestamine 4. periood","Ei taha","Klassikaline skulptuur","Psühholoogia alused","Psühholoogia alused","Riigikaitse 1","3D-modelleerimine 5. periood","3D-modelleerimine 5. periood","Filosoofia 2","Riigikaitse 2","Ajakirjanduse praktika","Mobiilirakenduste loomine (APP Inventor)"
"2020/07/08 5:08:17 PM GMT +3","xXGzUZx@fakegmail.com","Ashley 123","12","Astrofüüsika 2. periood","Globaliseeruv maailm","Joonestamine 2. periood","Õpioskused","Linux Raspberry Pi näitel","Inimene ja õigus","Loovkirjutamine","Ei taha","Natuurist joonistamine","Statistiline maailmapilt","Inimene ja ühiskond 3. periood","Arvutite riistvara ja lisaseadmed","Matemaatika ajaloo elemente ja rakendusi","Loominguline joonistamine 2","Kujutav geomeetria","Majandusõpe","Riigikaitse 1","Inimene ja ühiskond 4. periood","3D-modelleerimine 5. periood","Ei taha","Liiklusfüüsika","Projektikirjutamisõpe","Projektikirjutamisõpe","Mobiilirakenduste loomine (APP Inventor)"
"2020/07/08 5:08:22 PM GMT +3","htSWFqF@fakegmail.com","Olivia 124","11","Orgaaniline arhitektuur","Geoinformaatika","Ei taha","Inimene ja õigus","Hispaania keel 1","Inimene ja õigus","Keemilised elemendid","Loovkirjutamine","Natuurist joonistamine","Veebidisain","Veebidisain","Vaimne tervis ja selle hoidmine","Loomade käitumine 4. periood","Loominguline joonistamine 2","Loominguline joonistamine 2","Meditsiinikursus","Meditsiinikursus","Teater Vanemuise kultuuritänavas","Globaalne keskkond","Laboratoorsed tööd bioloogias","Ei taha","Karjääriõpetus","CAD joonestamine","Ajakirjanduse praktika"
"2020/07/08 5:08:27 PM GMT +3","cmqVMNg@fakegmail.com","Abigail 125","10","Loominguline joonestamine 1","Ei taha","Geoinformaatika","Programmeerimine keeles Python 1 õhtul","Prantsuse keel 1","Astronoomia","Keemilised elemendid","Astrofüüsika 3. periood","Filosoofia 1","Teadusajalugu 3. periood","Turundus","Vaimne tervis ja selle hoidmine","Kujutav geomeetria","Kujutav geomeetria","Praktiline kommunikatsioon","Inimene ja ühiskond 4. periood","Majandusõpe","Meditsiinikursus","Liiklusfüüsika","3D-modelleerimine 5. periood","Raamatukunst","CAD joonestamine","Karjääriõpetus","Projektikirjutamisõpe"
"2020/07/08 5:08:32 PM GMT +3","pCuXxJA@fakegmail.com","Madison 126","12","Joonestamine 2. periood","Värvus ja kompositsioon","Orgaaniline arhitektuur","Meediakursus","Õpioskused","Ei taha","Muusikaline kirjaoskus","Programmeerimine keeles Java 1","Ei taha","Inimene ja ühiskond 3. periood","Ei taha","Sissejuhatus ehitusinseneeriasse","Kasutame füüsikat!","Loominguline joonistamine 2","Kujutav geomeetria","Inimene ja ühiskond 4. periood","Millest ELU koosneb?","Meditsiinikursus","Laboratoorsed tööd bioloogias","Ettevõtlusõpe 5. periood","Liiklusfüüsika","Mobiilirakenduste loomine (APP Inventor)","Ajakirjanduse praktika","Projektikirjutamisõpe"
"2020/07/08 5:08:37 PM GMT +3","gYXNMnp@fakegmail.com","Olivia 127","10","Ei taha","Astrofüüsika 2. periood","Ei taha","Lähis-Ida 20. sajandi teisest poolest tänapäevani","Hispaania keel 1","Linux Raspberry Pi näitel","Programmeerimine keeles Java 1","Loovkirjutamine","Loovkirjutamine","Veebidisain","Ettevõtlusõpe 3. periood","Vaimne tervis ja selle hoidmine","Praktiline kommunikatsioon","Kujutav geomeetria","Loomade käitumine 4. periood","Arvutivõrkude alused","Arvutivõrkude alused","Psühholoogia alused","Globaalne keskkond","Programmeerimine keeles Java 2","Laboratoorsed tööd bioloogias","Teadusajalugu 5. periood","Projektikirjutamisõpe","Ei taha"
"2020/07/08 5:08:43 PM GMT +3","HUQnVLq@fakegmail.com","Alyssa 128","11","Geoinformaatika","Geoinformaatika","Loominguline joonestamine 1","Astronoomia","Prantsuse keel 1","Hiina keel 1","Ajakirjanduse alused","Filosoofia 1","Ei taha","Teadusajalugu 3. periood","Veebidisain","Statistiline maailmapilt","Loomade käitumine 4. periood","Kujutav geomeetria","Klassikaline skulptuur","Psühholoogia alused","Arvutivõrkude alused","Ei taha","Filosoofia 2","3D-modelleerimine 5. periood","Ettevõtlusõpe 5. periood","Mobiilirakenduste loomine (APP Inventor)","Ei taha","Ajakirjanduse praktika"
"2020/07/08 5:08:49 PM GMT +3","WGNiqtd@fakegmail.com","Hannah 129","10","Loogika 2. periood","Geoinformaatika","Astrofüüsika 2. periood","Hiina keel 1","Programmeerimine keeles Python 1 õhtul","Ei taha","Muusikaline kirjaoskus","Ajakirjanduse alused","3D-modelleerimine 3. periood","Ettevõtlusõpe 3. periood","Teadusajalugu 3. periood","Ei taha","Matemaatika ajaloo elemente ja rakendusi","Loodusteadused, tehnoloogia ja ühiskond","Loodusteadused, tehnoloogia ja ühiskond","Riigikaitse 1","Ei taha","Ei taha","3D-modelleerimine 5. periood","3D-modelleerimine 5. periood","Tänavakunst","Ei taha","CAD joonestamine","Teadusajalugu 5. periood"
"2020/07/08 5:08:54 PM GMT +3","xBvbIul@fakegmail.com","Taylor 130","10","Joonestamine 2. periood","Geoinformaatika","Globaliseeruv maailm","Linux Raspberry Pi näitel","Hispaania keel 1","Ei taha","Astrofüüsika 3. periood","Filosoofia 1","Filosoofia 1","Turundus","Statistiline maailmapilt","Fotograafia 1","Kasutame füüsikat!","Joonestamine 4. periood","Kujutav geomeetria","Psühholoogia alused","Ei taha","Teater Vanemuise kultuuritänavas","Ettevõtlusõpe 5. periood","Programmeerimine keeles Java 2","Programmeerimine keeles Java 2","Mobiilirakenduste loomine (APP Inventor)","CAD joonestamine","Riigikaitse 2"
"2020/07/08 5:08:58 PM GMT +3","ChtJprn@fakegmail.com","Abigail 131","12","Finantsmõtlemine","Joonestamine 2. periood","Orgaaniline arhitektuur","Labortöid füüsikas 10. ja 11. klassile","Lähis-Ida 20. sajandi teisest poolest tänapäevani","Linux Raspberry Pi näitel","Ajakirjanduse alused","Küberkaitse 1","Filosoofia 1","Arvutite riistvara ja lisaseadmed","Sissejuhatus ehitusinseneeriasse","Fotograafia 1","Programmeerimine keeles Python 2","Loodusteadused, tehnoloogia ja ühiskond","Loominguline joonistamine 2","Ei taha","Teater Vanemuise kultuuritänavas","Arvutivõrkude alused","Ettevõtlusõpe 5. periood","Globaalne keskkond","Liiklusfüüsika","CAD joonestamine","Ei taha","CAD joonestamine"
"2020/07/08 5:09:03 PM GMT +3","XcaNCmW@fakegmail.com","Alyssa 132","12","Ei taha","Astrofüüsika 2. periood","Astrofüüsika 2. periood","Soome keel 1","Ei taha","Õpioskused","Astrofüüsika 3. periood","Keemilised elemendid","Küberkaitse 1","Arvutite riistvara ja lisaseadmed","Arvutite riistvara ja lisaseadmed","Inimene ja ühiskond 3. periood","Joonestamine 4. periood","Joonestamine 4. periood","Loogika 4. periood","Arvutivõrkude alused","Majandusõpe","Ei taha","Tänavakunst","Laboratoorsed tööd bioloogias","Liiklusfüüsika","Projektikirjutamisõpe","Ajakirjanduse praktika","Riigikaitse 2"
